name,title,company,industry,location,bio,linkedin,major,grad
Vivek Thakkar,US Carrier Business at Apple,Apple,Business,Bay Area,"Senior Business Development Executive with a strong product management and cross-functional background. Able to simplify and synthesize complex structures to communicate value effectively by leveraging engineering roots, business acumen, and deep knowledge of wireless industry. Thrives on the opportunity to â€œmake a differenceâ€ù in fast-paced, high-energy teams that are accountable for results and willing to challenge the status quo.",https://www.linkedin.com/in/vivekvthakkar/,CompE,n/a
Paul Stahura,Seed Investor,Multiple Orgs,VC,"Sammamish, Washington","Co-founder and former CEO Donuts, Inc. Founder and former CEO of eNom, Inc.",https://www.linkedin.com/in/paulstahura/,"BS, MS EE",1987
Rehan Jalil,President of Elastica,Multiple Orgs,VC,Bay Area,"Security Cloud Security SaaS Analytics, Machine Learning Cloud Computing Networking Mobile",https://www.linkedin.com/in/rehanjalil/,"MS, EECS",1998
Naveen Jain,Co-Founder at Tari,Tari,Entrepreneur,Bay Area,"Entrepreneur, inventor & investor.",https://www.linkedin.com/in/naveenkjain/,CompE,1999
Alexander M.,"Global Managing Director, Head of Experian Ventures",Experian,VC,Bay Area,"Investor, Advisor, Mentor, Entrepreneur. Built successful corporate venture and innovation programs. Advisor to accelerators, start-ups, and global multinational corporations.",https://www.linkedin.com/in/alexmarquez/,"MBA, Finance",1994
Anand Daniel,Partner at Accel,Accel Partners,VC,India,Focused on partnering with outstanding entrepreneurs to create category-defining companies across various technology sectors,https://www.linkedin.com/in/ananddaniel/,MSEE,1997
Derrick Ko,CEO & Co-founder at Spin,Spin,Entrepreneur,Bay Area,I build products.,http://www.linkedin.com/in/derrickk,CompE,n/a
Mark Achler,Managing Director at MATH Venture Partners,MATH Venture Partners,VC,Chicago,"Venture Capital investor, CEO, Serial entrepreneur, faculty member at the Northwestern University Kellogg School of Management and a frequent contributor to Fortune Magazine.",https://www.linkedin.com/pub/mark-achler/0/44/4b4,"BA, History",1980
Charles Adler,Kickstarter co-founder,Lost Arts,Entrepreneur,Chicago,"In '97 I founded Subsystence, '03 launched Source ID, '09 Kickstarter and now working on a new endeavor entitled Lost Arts since '15. The thread across all projects is creative independence for the masses.",http://www.linkedin.com/in/charlesadler,Mechanical Engineering Tech,1996
Jeff Hastings,CEO at BrightSign,BrightSign,Entrepreneur,Bay Area,CEO of Brightsign and board of multiple startups such as Roku,https://www.linkedin.com/in/jeffhastings1/,"BS, CS",1987
Albert Albert,Co-Founder at Traveloka,Traveloka,Entrepreneur,Indonesia,to make our world a better place through art and science,https://www.linkedin.com/in/albert-albert-5918b08,"BS, CS, Psychology",2008
Pradyumn Vig,CEO & Co-founder @ Abacus,Abacus,Entrepreneur,Bay Area,Founder of Abacus,https://www.linkedin.com/in/pradyumanvig/,BE,n/a
Feng Hong,Co-Founder at Xiaomi,Xiaomi,Business,Shanghai,Internet product management,http://cn.linkedin.com/pub/feng-hong/0/10/81b,"MS, CS",2001
Jeremy Wacksman,"President, Zillow at Zillow Group",Zillow,Entrepreneur,Seattle,Founder of Zillow,https://www.linkedin.com/in/jeremywacksman/,"BS, CompE",1999
Dhruv Saxena,Co-Founder at ShipBob,ShipBob,Entrepreneur,Chicago,Founder of ShipBob,http://www.linkedin.com/pub/dhruv-saxena/4/803/456,"BS, MS, EE",2011
Susanto Irwan,Co-founder and VP of Engineering at ,Xage Security,Tech,Bay Area,"Entrepreneur, Team Builder, and Technologist.",https://www.linkedin.com/in/susantoirwan/,CS,2001
Daniel Palacio,Angel Investor,Self Employed,Entrepreneur,New York,Founder @ Authy (Acquired by Twilio). Led the Authy product at Twilio.,http://www.linkedin.com/in/danielpalacio,CS,2008
Joe Schoendorf,Partner at Accel Partners,Accel Partners,VC,Bay Area,-,https://www.linkedin.com/in/joe-schoendorf-0408b411/,EE,1966
Beck Besecker,Founder & CEO Marxent,Marxent,Entrepreneur,Florida,-,https://www.linkedin.com/in/bbesecker/,MS,1999
Vijay Subramanian,Advisor,Catalant Tech,Tech,New York,Data/technology/product leader with two stints in consumer and enterprise startups. ,https://www.linkedin.com/in/vijay-subramanian-8507092/,-,-
Brett Hellman,CEO & Founder at Matter ,Matter,Entrepreneur,Bay Area,"I am a product leader, entrepreneur, and engineer with 15 years of experience creating beautifully crafted products",https://www.linkedin.com/in/bretthellman/,Operations Research,2001
Mike Harris,President,Ring,Tech,Philadelphia,-,https://www.linkedin.com/in/mbrharris/,CompE,1991
Kyle Stoner,Founder & CEO at Abode,Abode,Entrepreneur,Chicago,"Experienced Chief Executive Officer with a demonstrated history of building startups. Strong entrepreneurship professional skilled in Real Estate, Consumer Goods, Management, Mergers & Acquisitions, and Leadership.",https://www.linkedin.com/in/kylestoner1/,IE,2007
Matt Shobe,Faculty,UW,Entrepreneur,Seattle,"I've spent the balance of my professional life in the entrepreneurial, small company trenches, but stints in large company environments have helped frame and broaden my experience and problem-tackling approach",http://www.linkedin.com/in/mshobe,English/Econ,1993
Blake Matheny,Engineering Director at Facebook,Facebook,Tech,Bay Area,"I have typically been responsible for building scalable, secure and highly available distributed systems for large and small companies including high traffic web sites and wireless carriers.",https://www.linkedin.com/in/bmatheny/,Math,2003
Andy Knosp,Head of Solutions Consulting at Gladly,Gladly,Tech,Bay Area,"Technology Pre-sales, Services, and Customer Success executive with 20 years of experience leading global teams in high growth businesses, delivering successful customer outcomes, and scaling operations from early stage through IPO at companies including Gladly, Stripe, Gainsight, Hortonworks, and VMware. ",https://www.linkedin.com/in/andyknosp/,IM,1999
Kenny Stone,Unemployed,-,Entrepreneur,Bay Area,Making Stuff,https://www.linkedin.com/in/kenny-stone-a239a4a/,CompE,2004
Akshay Kothari,COO,Notion,Tech,Bay Area,-,https://www.linkedin.com/in/akothari/,EE,2007
TA McCann,MD@PSL,Pioneer Square Labs,Entrepreneur,Seattle,"I am a co-founder of Rival IQ â€“ marketing analytics with a competitive edge. I was previously VP of Product Strategy at Blackberry, focused on BBM (Blackberry Messenger), social applications (Facebook, LinkedIn, Twitterâ€_) as well as the native Contacts apps.",https://www.linkedin.com/in/tamccann/,ME,1989
Edith Yeung,Partner at Proof of Capital + 500 Startups,Proof of Capital + 500 Startups,VC,Bay Area,"Edith is a venture capitalist, technology executive, and a China Internet expert",https://www.linkedin.com/in/edithyeung/,IM,
Keith Krach,Chairman & CEO of Ariba and DocuSign,Ariba and DocuSign,Tech Entrepreneur,Bay Area,"Krach has led the creation of the categories of Business-to-Business (B2B) Electronic Commerce, Mechanical Design Synthesis, Digital Transaction Management (DTM) and e-Signature and is known as an early pioneer in the robotics industry. ",https://www.linkedin.com/in/keithkrach/,Eng,1979
